latitud,longitud,tecnologia,mcc,operador,net,lac,cellid,cobertura,fecha,id
-17.391259,-66.150681,LTE,736,Tigo,3,47461,20533764,4832,2019-05-09 08:07:23+00:00,151509
-17.393882,-66.150611,LTE,736,Tigo,3,47461,20488710,4540,2019-07-17 07:52:59+00:00,151508
-17.394982,-66.158323,LTE,736,Tigo,3,47461,20534277,1143,2019-06-05 12:06:40+00:00,151507
-17.395207,-66.164408,LTE,736,Tigo,3,47461,20489732,2087,2019-05-09 07:53:34+00:00,151506
-17.388176,-66.169863,LTE,736,Tigo,3,47461,20489734,6564,2019-05-13 08:39:54+00:00,151505
-17.387731,-66.169669,LTE,736,Tigo,3,47461,20544004,6428,2019-05-13 08:39:54+00:00,151504
-17.387844,-66.160894,LTE,736,Tigo,3,47461,20480772,5685,2019-05-24 16:22:45+00:00,151503
-17.380892,-66.160638,LTE,736,Tigo,3,47461,20530181,6075,2019-08-05 14:10:37+00:00,151502
-17.377755,-66.164903,LTE,736,Tigo,3,47461,20494852,5587,2019-07-14 19:27:17+00:00,151501
-17.394905,-66.15231,UMTS,736,Tigo,3,37800,7272965,2324,2019-08-02 15:49:36+00:00,151500
-17.378989,-66.157336,UMTS,736,Tigo,3,37800,7253103,2889,2019-06-07 09:51:47+00:00,151499
-17.391409,-66.15356,UMTS,736,Tigo,3,37800,7273012,1000,2019-05-05 10:09:35+00:00,151498
-17.392782,-66.150965,UMTS,736,Tigo,3,37800,7238111,2887,2019-05-25 09:22:36+00:00,151497
-17.391142,-66.156801,UMTS,736,Tigo,3,37800,7253057,3554,2019-06-07 11:10:22+00:00,151496
-17.376578,-66.169204,LTE,736,Tigo,3,47460,20512516,3453,2019-07-17 11:56:04+00:00,151495
-17.377807,-66.164854,LTE,736,Tigo,3,47460,20511236,5587,2019-05-03 15:29:25+00:00,151494
-17.383267,-66.156745,UMTS,736,Tigo,3,37800,7236968,3143,2019-07-27 11:29:19+00:00,151493
-17.379303,-66.155568,LTE,736,Tigo,3,47461,20482053,7487,2019-08-09 18:30:06+00:00,151492
-17.385396,-66.157396,LTE,736,Tigo,3,47461,20497156,6631,2019-08-04 22:38:44+00:00,151491
-17.388484,-66.152856,LTE,736,Tigo,3,47461,20500230,5161,2019-05-03 16:27:20+00:00,151490
-17.391362,-66.151549,LTE,736,Tigo,3,47461,20533765,1217,2019-07-17 05:29:29+00:00,151489
-17.388683,-66.156455,LTE,736,Tigo,3,47461,20497157,3624,2019-08-09 13:06:38+00:00,151488
-17.376937,-66.158972,LTE,736,Tigo,3,47461,20516613,2556,2019-07-29 19:25:42+00:00,151487
-17.382248,-66.158567,LTE,736,Tigo,3,47461,20530180,7146,2019-08-04 22:38:45+00:00,151486
-17.395005,-66.147258,UMTS,736,Tigo,3,37800,7263172,1000,2019-05-03 13:51:23+00:00,151485
-17.382292,-66.160892,LTE,736,Tigo,3,47461,20530182,7139,2019-07-23 20:45:03+00:00,151484
-17.37731,-66.16027,GSM,736,Tigo,3,27460,14004,1698,2019-06-07 22:55:34+00:00,151483
-17.389734,-66.152354,LTE,736,Tigo,3,47461,20508932,5891,2019-05-09 07:28:56+00:00,151482
-17.38197,-66.151123,UMTS,736,Tigo,3,37800,7227994,3681,2019-08-09 15:18:08+00:00,151481
-17.38302,-66.148489,UMTS,736,Tigo,3,37800,7252994,3834,2019-08-09 15:29:08+00:00,151480
-17.376863,-66.159981,UMTS,736,Tigo,3,37800,7263103,1000,2019-07-23 21:14:01+00:00,151479
-17.385647,-66.150359,LTE,736,Tigo,3,47461,20500229,1000,2019-06-28 15:53:52+00:00,151478
-17.380186,-66.145122,LTE,736,Tigo,3,47461,20518661,1777,2019-04-14 12:50:01+00:00,151477
-17.384739,-66.151597,LTE,736,Tigo,3,47461,20500228,5562,2019-07-27 11:28:22+00:00,151476
-17.3885,-66.155796,UMTS,736,Tigo,3,37800,7238027,1000,2019-08-02 17:39:12+00:00,151475
-17.389373,-66.155369,LTE,736,Tigo,3,47461,20499974,3027,2019-08-09 13:13:52+00:00,151474
-17.389404,-66.174356,LTE,736,Tigo,3,47461,20548870,8374,2019-07-14 21:30:38+00:00,151473
-17.389791,-66.150787,LTE,736,Tigo,3,47461,20552197,8898,2019-04-28 09:55:29+00:00,151472
-17.38229,-66.164688,LTE,736,Tigo,3,47461,20519941,7231,2019-04-28 09:55:13+00:00,151471
-17.391593,-66.152727,UMTS,736,Tigo,3,47461,20533766,1000,2019-05-15 11:39:46+00:00,151470
-17.392263,-66.161416,LTE,736,Tigo,3,47461,20486918,3248,2019-08-09 10:54:50+00:00,151469
-17.385926,-66.167588,LTE,736,Tigo,3,47461,20486917,6356,2019-07-14 21:31:36+00:00,151468
-17.394402,-66.154606,LTE,736,Tigo,3,47461,20508934,3788,2019-04-26 17:54:10+00:00,151467
-17.392677,-66.154938,LTE,736,Tigo,3,47461,20499973,1000,2019-04-26 20:18:52+00:00,151466
-17.389927,-66.157742,LTE,736,Tigo,3,47461,20491782,7116,2019-07-28 16:34:18+00:00,151465
-17.394056,-66.156546,LTE,736,Tigo,3,47461,20517892,1876,2019-06-07 22:54:59+00:00,151464
-17.380266,-66.163135,UMTS,736,Tigo,3,37801,7248111,5894,2019-06-05 19:40:00+00:00,151463
-17.393325,-66.154686,LTE,736,Tigo,3,47461,20481286,7594,2019-05-30 19:52:32+00:00,151462
-17.385151,-66.159903,LTE,736,Tigo,3,47461,20499717,5298,2019-05-17 16:31:22+00:00,151461
-17.389972,-66.155703,LTE,736,Tigo,3,47461,20521222,1797,2019-05-30 17:48:49+00:00,151460
-17.385897,-66.157356,LTE,736,Tigo,3,47461,20508933,4054,2019-06-18 12:22:32+00:00,151459
-17.380847,-66.15921,LTE,736,Tigo,3,47451,20512004,6110,2019-06-07 22:55:50+00:00,151458
-17.384865,-66.159561,UMTS,736,Tigo,3,47451,20506886,6505,2019-06-07 20:05:18+00:00,151457
-17.389294,-66.157736,LTE,736,Tigo,3,47461,20480773,2037,2019-06-27 22:31:41+00:00,151456
-17.388995,-66.156299,LTE,736,Tigo,3,37801,7263165,2994,2019-06-07 11:09:12+00:00,151455
-17.395025,-66.14917,UMTS,736,Entel,2,43401,13792480,1000,2017-09-27 18:30:03+00:00,151454
-17.394674,-66.145119,UMTS,736,Entel,2,43401,13799407,1000,2017-09-27 16:38:26+00:00,151453
-17.38793,-66.155693,UMTS,736,Viva,1,1210,13258824,1000,2017-09-27 11:05:46+00:00,151452
-17.394888,-66.149147,UMTS,736,Entel,2,43401,13799409,1000,2017-09-22 23:40:59+00:00,151451
-17.393629,-66.159271,UMTS,736,Viva,1,1210,3074818,1000,2017-09-23 14:07:58+00:00,151450
-17.388738,-66.141882,LTE,736,Entel,2,44401,10262532,1000,2019-04-14 12:51:54+00:00,151449
-17.393417,-66.162452,LTE,736,Viva,1,21000,3110401,1000,2017-09-23 12:28:19+00:00,151448
-17.394585,-66.148144,LTE,736,Entel,2,44401,10259972,1000,2017-09-23 00:31:04+00:00,151447
-17.393629,-66.159271,LTE,736,Viva,1,21000,3100162,1000,2017-09-23 18:01:50+00:00,151446
-17.383818,-66.146759,UMTS,736,Entel,2,43401,13796014,1000,2017-09-25 22:37:08+00:00,151445
-17.378094,-66.168655,LTE,736,Viva,1,21000,3090435,1000,2017-09-23 15:29:31+00:00,151444
-17.394257,-66.156013,UMTS,736,Tigo,3,65534,20508934,1000,2017-09-22 21:07:17+00:00,151443
-17.393768,-66.143196,GSM,736,Entel,2,40401,31407,1000,2017-09-22 16:43:14+00:00,151442
-17.38706,-66.158813,LTE,736,Viva,1,21000,3109890,1000,2017-09-20 23:47:21+00:00,151441
-17.38706,-66.158813,LTE,736,Viva,1,21000,3088898,1000,2017-09-20 23:44:52+00:00,151440
-17.393076,-66.159927,UMTS,736,Entel,2,43401,13799327,1000,2017-09-21 16:55:46+00:00,151439
-17.377689,-66.155121,UMTS,736,Viva,1,1210,3078402,1000,2017-09-26 16:06:30+00:00,151438
-17.377564,-66.167843,LTE,736,Tigo,3,27460,20481025,1000,2017-09-21 13:54:23+00:00,151437
-17.390078,-66.158073,UMTS,736,Entel,2,43401,13795145,1000,2017-09-18 23:29:43+00:00,151436
-17.381596,-66.164021,UMTS,736,Entel,2,43401,13795136,1893,2017-09-24 21:36:00+00:00,151435
-17.376694,-66.162264,LTE,736,Entel,2,44401,10277124,2211,2019-04-15 11:46:09+00:00,151434
-17.383929,-66.157112,LTE,736,Viva,1,21000,3088897,1000,2017-09-27 11:32:47+00:00,151433
-17.388859,-66.155284,UMTS,736,Tigo,3,17800,5287005,4076,2017-09-24 06:26:12+00:00,151432
-17.393318,-66.154572,UMTS,736,Viva,1,1210,13264373,1000,2017-09-16 23:47:42+00:00,151431
-17.379795,-66.141884,UMTS,736,Viva,1,1202,13198709,1000,2017-09-14 17:19:06+00:00,151430
-17.378765,-66.162247,UMTS,736,Viva,1,1210,13259960,1000,2017-09-15 00:36:06+00:00,151429
-17.387556,-66.160965,UMTS,736,Viva,1,1210,13264960,1000,2017-09-14 23:00:44+00:00,151428
-17.379845,-66.141747,UMTS,736,Viva,1,1210,13264157,1000,2017-09-14 14:53:51+00:00,151427
-17.391714,-66.156143,UMTS,736,Entel,2,21000,3074818,1000,2017-09-13 23:03:32+00:00,151426
-17.3822,-66.159786,UMTS,736,Entel,2,21000,3083265,1000,2017-09-14 02:25:55+00:00,151425
-17.384069,-66.158116,UMTS,736,Entel,2,21000,3083266,1000,2017-09-14 02:00:59+00:00,151424
-17.387529,-66.158012,UMTS,736,Entel,2,21000,3088898,1000,2017-09-14 02:30:27+00:00,151423
-17.378027,-66.158447,UMTS,736,Tigo,3,17800,330430,1000,2017-09-13 18:17:12+00:00,151422
-17.391527,-66.159561,UMTS,736,Entel,2,21000,3074817,1000,2017-09-14 02:33:29+00:00,151421
-17.382761,-66.160851,UMTS,736,Entel,2,21000,3088899,1000,2017-09-14 02:26:14+00:00,151420
-17.38942,-66.159454,UMTS,736,Entel,2,21000,3100163,1000,2017-09-13 23:06:35+00:00,151419
-17.394127,-66.148865,LTE,736,Viva,1,21000,3104001,1000,2017-09-24 11:22:27+00:00,151418
-17.382291,-66.149903,LTE,736,Viva,1,21000,3079426,1000,2017-09-20 22:37:24+00:00,151417
-17.389308,-66.156043,UMTS,736,Entel,2,43401,13787200,1190,2017-09-13 14:50:58+00:00,151416
-17.386973,-66.168619,UMTS,736,Viva,1,1211,13325613,1736,2017-05-15 13:41:46+00:00,151415
-17.377395,-66.147789,UMTS,736,Viva,1,1210,13264463,1000,2017-05-14 18:44:01+00:00,151414
-17.380984,-66.145403,LTE,736,Entel,2,44401,10266630,1000,2019-03-22 19:03:31+00:00,151413
-17.385693,-66.148834,UMTS,736,Tigo,3,17800,5271959,1000,2017-05-15 13:07:58+00:00,151412
-17.390166,-66.153204,UMTS,736,Viva,1,1201,13199057,2969,2017-05-14 19:22:27+00:00,151411
-17.392349,-66.157936,LTE,736,Viva,1,21000,3074817,1000,2017-05-13 18:12:12+00:00,151410
-17.378156,-66.162898,UMTS,736,Tigo,3,17800,5281165,1000,2017-05-15 13:33:38+00:00,151409
-17.383909,-66.150261,UMTS,736,Entel,2,17461,14079,1000,2017-05-13 19:54:23+00:00,151408
-17.388469,-66.176087,LTE,736,Tigo,3,27460,20487686,1000,2017-05-13 13:10:55+00:00,151407
-17.387626,-66.155396,UMTS,736,Viva,1,1210,13264380,1000,2017-09-18 23:30:18+00:00,151406
-17.380592,-66.1521,UMTS,736,Entel,2,43401,13787330,1000,2017-05-12 22:14:22+00:00,151405
-17.389919,-66.159561,LTE,736,Viva,1,65534,3074817,1000,2017-05-13 01:36:32+00:00,151404
-17.386921,-66.158232,GSM,736,Viva,1,1210,20281,1000,2017-05-12 23:52:44+00:00,151403
-17.389532,-66.147537,LTE,736,Viva,1,21000,3077377,1000,2017-05-13 17:36:23+00:00,151402
-17.378527,-66.163093,GSM,736,Viva,1,17461,14027,1000,2017-05-14 16:34:21+00:00,151401
-17.387524,-66.148773,LTE,736,Tigo,3,27461,20521476,1000,2017-05-09 12:25:20+00:00,151400
-17.393616,-66.154333,LTE,736,Viva,1,21000,3100161,1000,2017-09-22 15:37:48+00:00,151399
-17.387259,-66.168362,LTE,736,Viva,1,21000,3086339,2252,2017-09-23 18:12:01+00:00,151398
-17.391808,-66.153708,LTE,736,Entel,2,44401,10259206,1000,2019-04-12 17:54:00+00:00,151397
-17.379347,-66.156914,UMTS,736,Viva,1,17461,34008,1000,2017-05-07 20:54:19+00:00,151396
